sid,context_text,value
AA3647,我認為天父沒有辦法改變因為,1
AA3647,因為我覺得這個是女生俱來的一個能力,1
AA3647,所以就來說他可能就是我會一直持續具備這些能力,1
AA3647,但是後後天來改善的話可能會有一些困難,1
AD0995,我認為天父可以改變,2
AD0995,就像在後天學習時不同的狀況跟不同的歷程,2
AD0995,都會造成一個人的興趣跟經驗會有所不同那,2
AD0995,那這些也會改變他去選擇要從事什麼,2
AD0995,從事什麼樣的工作或是從事什麼樣的興,2
AD0995,去喜歡做什麼不喜歡做什麼,2
AD0995,在這土大在這學期的過程中,2
AD0995,除了要靠卻除了解魔手很著自己的魔手跟自己的熱情跟動力很重要之外,2
AD0995,我認為老師或者是家人朋友,2
AD0995,所給予的影響也是不可或缺的,2
AD0995,那這些那些因素只要有所變,2
AD0995,電動的話就很容易會造成一個人的成長歷,2
AD0995,你才會跟著有所不同那他可,2
AD0995,可能事後選擇的導入也就會有所不同,2
AD0995,說我認為天父是可以改變的,2
AD7423,與天俱來,1
AG4726,我認為天賦如果就是天生與生俱來的東西,1
AG4726,他當然不容易給被改變,1
AG4726,但是好像是可以透過後天的學習去增強其他,1
AG4726,原本已經香蕉有比別人更有基礎的天賦,1
AG4726,那可以增強這個天賦,1
AJ4867,我認為天父可以改變因為,2
AJ4867,因為我覺得可以靠後天的學習跟不斷的練習去改變自己,2
AJ4867,這是為什麼我覺得人有無限的可能性,2
BB9787,我覺得天賦是沒有辦法改變的,1
BB9787,因為是像是天份這樣子,1
BB9787,上天賦予你的能力,1
BB9787,有些人就是語言能力比較好,1
BB9787,有限制數理邏輯能力比較好,1
BB9787,南市東西,1
BB9787,如果上天給了你天賦那,1
BB9787,那就代表你的這些能力,1
BB9787,相對的比長人,1
BB9787,還要更好一點,1
BB9787,那當然這些天賦是可以,1
BB9787,繼續加強讓他變得越來越好,1
BB9787,但是如果說你本身沒有天賦的話,1
BB9787,可能就會,1
BB9787,你想要達到更有天賦的人一樣的能力的話就,1
BB9787,就需要花更加倍的力氣加,1
BB9787,加倍的行李才有辦法達成,1
BB9787,可是呢就算他的加倍的行李也,1
BB9787,也不一定可以達到像有天賦的人那,1
BB9787,那樣的高度,1
BB9787,會相對吃力,1
BB9787,有些相對的投資報酬率比較低,1
BQ9619,我認為天父是可以改變的,3
BQ9619,只要你可以善加學習,3
BQ9619,利用各種學習的資源,3
BQ9619,相信你可以去就是閱讀書籍,3
BQ9619,衛視利用網路上的各種資源,3
BQ9619,或是現在的AI的程式,3
BQ9619,27號的,3
BQ9619,可以解除其他人的像是,3
BQ9619,取消老師,3
BQ9619,或是職場上的長輩,3
BQ9619,鬼市同菜等等,3
BQ9619,我可以讓你增進自己的知識,3
BQ9619,或是你的才能,3
BV5253,可以改變只要靠後天的努力,2
CA5403,因為我認為天生的能力是很難,3
CA5403,這個你有一定的天賦的話你很難去改變,3
CN1899,你可以改變,1
CN1899,越南的潛能是可以開花的,1
CP3552,不能改變,3
CP3552,因為那個是上天給你的,3
CV2259,我覺得天不能改變了我一直接去努力是可以看的提升而且能力累積越多越有自信資訊大悲咒天賦是可以改變的,1
CZ8543,很難改變,2
DG8891,我認為天賦是無法改變的,2
DG8891,因為,2
DG8891,如果他是一個可以改變的東西,2
DG8891,就天府有天這個字嗎,2
DG8891,那天就代表說他是一個,2
DG8891,天生為與生俱來的食物,2
DG8891,所以就算說他是改變的話,2
DG8891,那應該是後天的學習,2
DG8891,跟,2
DG8891,你的努力造成這個錢人還,2
DG8891,還有發展的機會,2
DG8891,那天福華基本上就是一個,2
DG8891,維持在一定限度的事物,2
DG8891,所以我覺得天賦是不能改變的,2
EG9983,我認為在與山俱來的一些天賦,1
EG9983,是每個人具備不一樣的天生的特質但是,1
EG9983,但是我是覺得可以透過後天的訓練,1
EG9983,可以來改變自己的天賦特質,1
FC1872,我昨天不可能沒有辦法改變,3
FC1872,魚有些東西是與生俱來,3
FC1872,NBA球員的話他,3
FC1872,他就買靠他的身體天賦去打球他,3
FC1872,他的天花板會依據他的天賦有上限,3
FC1872,川普律師可以到達一定成就,3
FC1872,還是蠻仰望先天賦的,3
FU8225,Camry雨生俱來的,2
FY4166,天賦不可以完全改變但是可以透過後天的學習來強化跟加強,1
GH6341,遷戶不是不能改變是可以但是要經過長時間的培養與訓練,1
GQ1734,我認為天賦就是與生俱來比別人還要厲害的地,3
GQ1734,例如說身高或是有些人學習能力比較強那,3
GQ1734,他在這些領域上面可以靠努力去彌補,3
GU1919,天賦能不能改變為,1
GU1919,為什麼,1
GU1919,這麼認為,1
GU1919,天賦能改變的程度不多,1
GU1919,因為這是雨天俱來的,1
GU1919,所以我是這麼認為,1
GU6025,你認為天父能不能改變,2
GU6025,1分鐘思考兩分鐘回答給我,2
GU6025,我覺得很好尷尬喔,2
GU6025,我覺得天賦是天生就擁有的,2
GU6025,可以透過後天的努力去加強你的天賦,2
GX9223,我認為天賦是可以改變的因,0
GX9223,我們其實很難發覺自己真正的天賦,0
GX9223,我們很多時候我看那天不其實我們以為,0
GX9223,我們只用,0
GX9223,我們可以進一步的去拓展幾天付,0
GX9223,跟加強自己的天賦,0
GX9223,以前一開始都被認為,0
GX9223,他,0
GX9223,嶄露頭角,0
GX9223,因為沒有繼續挖掘跟加強,0
GX9223,合併的就是,0
GX9223,沒有把他聽不對現出來,0
GX9223,平均要認為聽故事,0
GX9223,所謂的天賦這,0
HX5970,天父可以改變可以考後天的學習去阿去做提神但是沒有辦法像就是那些IQ很多,2
HX5970,智商很高的人就是可能學任何事情都可以盡快到可以向他們要快速的達成但是但是只要持續學習,2
HX5970,天父也可以啊這也可以幫助學這也可以啊讓他們讓沒有天在後天努力學習的人也可以跟樂上那些擁有天賦但是不去努力的人,2
IE6957,天賦應該不能改變了,2
IE6957,應該是,2
IE6957,被,2
IE6957,發現吧找到自己的天賦,2
IE6957,那天賦的,2
IE6957,人透過,2
IE6957,不知道,2
IE6957,各種方式找尋吧,2
IE6957,找到了就,2
IE6957,應該不會改變,2
IM2797,我認為天父不能改變,3
IM2797,這就是天賦這個詞的定義,3
IM2797,如果能靠後天學習而成長的,3
IM2797,那應該稱之為技能或是一些才,3
IM2797,花不是稱為天賦,3
IM2797,那天父子的應該是學習能力,3
IM2797,不是而不是只學習到的東西,3
IM2797,學習能力應該是與生俱來的,3
IM2797,那當然學習方法可以改變的學習你的學習速度,3
IM2797,但是基礎是不會改變的,3
IM2797,那算算學習能力你不會改變,3
IM2797,但是但是靠後天獲得的學習方法,3
IM2797,可以幫助你快速學習到快更快速的學習新的事物然後,3
IM2797,如何幫你獲得新的技能,3
IM2797,濟南才是可以提高可以改變的部分,3
IN8306,不是可以藉著學習而改變了,1
IN8306,而這個學習也隨著你的週遭的環境,1
IN8306,你週遭的人跟週遭的事情,1
IN8306,會讓你有所增長或是改變,1
IU6507,在天賦的基礎上應該是不太能改變的,1
IU6507,當然是可以後天的表現呢是可以透過努力,1
IU6507,以及環境來速照,1
IU6507,我相信可以持續的學習而是可以突破基礎的,1
IU6507,然後可以發揮更大的潛能,1
JO5132,因為天父顧名思義就是天生生下來所擁有的潛能與能力,2
JO5132,應該是算是一個比較基礎固定的一個量,2
JT3562,我認為透過後天的努力可以改變,2
JT3562,就是自己的天賦,2
JT3562,所以我認為天父是可以改變的,2
JT3562,然後就是,2
JT3562,如果你很喜歡一件事情,2
JT3562,老透過你的努力,2
JT3562,好去做一些研究,2
JT3562,跟你的一些行為的改正,2
JT3562,他就會對一件事情就,2
JT3562,就會有很大的幫助,2
JV6180,我認為智力不能夠改變,3
JV6180,雖然我們可以透過教育,3
JV6180,不是說閱讀不同的科目,3
JV6180,或者是說書本來增加自己本身的知識,3
JV6180,這是我們的海綿體誰的知識的增加,3
KC3589,陪我覺得天賦呢對我來說是一個比較正面的詞喔,1
KC3589,12比如說他不用經過太多練習就,1
KC3589,有一些能力,1
KC3589,老師表現在水準之上的,1
KC3589,所以我覺得對我來說,1
KC3589,天父他不需要改變,1
KC3589,可是需要備早出來,1
KC3589,而且嘉義運用,1
KC3589,九如果他會發揮他的天賦的話,1
KC3589,那他在某個特定方面的能力會發揮的比,1
KC3589,一般人還要厲害,1
KC3589,那我覺得對我來說需要改變的,1
KC3589,是一些自己行不通的,1
KC3589,鐘的地方比如說自己容易逃避,1
KC3589,基隆一遲到,1
KC3589,氣溶液不敢下承諾,1
KC3589,ok容易,1
KC3589,容易找回檔之類的那,1
KC3589,這部分呢我覺得,1
KC3589,他是屬於我們行不通的特質,1
KC3589,請問這可能是從小到大養成,1
KC3589,習慣說謊,1
KC3589,習慣習慣不負責任,1
KC3589,很習慣就是說一套做一套,1
KC3589,草等等了那這就是我們要去面對,1
KC3589,對的OK,1
KC3589,那我覺得如果是一個好的人,1
KC3589,人才的話他會發揮他自己的天賦,1
KC3589,木同時他會修正他自己心不同的地方,1
KC3589,那這是我的看法寫,1
LB6837,我認為天賦呢在一定的程度上是可以被改變,1
LB6837,我從蘇打,1
LB6837,味登本身就是一個具有高度特殊性的個體,1
LB6837,但是我也覺得同學覺得說天賦呢好像是,1
LB6837,與生俱來的,1
LB6837,所以這問題真的有點困難,1
LB6837,站在天賦是能被改變,1
LB6837,因為我們能透過學習的過程是可以,1
LB6837,不斷地發現自己的潛能的,1
LE3531,認為天賦應該不能改變吧,1
LE3531,為什麼會這麼認為,1
LE3531,我覺得會被稱作為天賦應該算是一個與生俱來,1
LE3531,最有的能力,1
LE3531,如果能天富豪,1
LE3531,就是應該說會比其他人更擅長做電事情嗎,1
LF7416,每個人生而獨特,2
LK1412,我認為天賦是可以改變的,1
LK1412,人們的思考方式,1
LK1412,還有邏輯,1
LK1412,然後跟擅長的東西都會隨著他的習慣學習,1
LK1412,學習的他的經歷他的經歷都會影響到他之後的剛剛所說的就思考方式,1
LK1412,有機跟作者方式等等,1
LK1412,那也會導致也會因此讓他就是擅長跟有天賦的東西,1
LK1412,其實會稍微有點改變的不是你覺得,1
LK9850,虎尾天賦是可以改變的,2
LK9850,天賦算只是天生的才能,2
LK9850,如果你不去好好的享用這個天賦的話,2
LK9850,我他會變得越來越遲鈍,2
LK9850,那早說你有時常在使用這些天賦,2
LK9850,我覺得這些天賦也會變得越來越好,2
LP5610,我認為天父沒有辦法改變因為,2
LP5610,因為這是與生俱來的,2
LP5610,上次唱歌的話呢,2
LP5610,很多人可能天生唱歌就是五陰部成,2
LP5610,但是有些人天生唱歌就非常好聽,2
LP5610,所以呢我認為天賦是沒有辦法改變的,2
LP5610,但是呢我們可以透過學習,2
LP5610,來去學習跟努力,2
LP5610,然後來去讓自己更加進步,2
LP5610,如說像是唱歌跳舞,2
LP5610,我是在工作上面每天能力等等,2
LP5610,有些人可能在數學上面的邏輯思維可,2
LP5610,沒有辦法那麼快的去進行轉換,2
LP5610,然後不斷的作品,2
LP5610,然後就是去增加的心算的能力,2
LP5610,上次還有做體的速度,2
LP5610,然後來獲得高分這樣,2
LR8914,可以回答了,2
LR8914,我認為天父後天是可以改變的因為,2
LR8914,因為我們後天如果說努力的話,2
LR8914,當然就可以改變,2
LW2976,結果不能改變因為這個是基因的關係,3
MC4125,我覺得天賦是可以改變的,1
MC4125,只要經過不斷的練習,1
MC4125,或者是長時間的練習重複反覆做之後,1
MC4125,熟能生巧所以,1
MC4125,許添富是應該可以跟被改變的東西,1
MC4125,好謝謝,1
MF4494,因為天生就具備一定的智商及能力,1
MF4494,智商不容易改變但是智慧可以藉由經驗的累積而變得更加成熟,1
MF4494,所以我認為天賦是很難以改變的,1
MI7391,我覺得天賦是,2
MI7391,生下來就已經固定了然,2
MI7391,然後後天的話只能靠後天來,2
MI7391,彌補這些天賦的不足,2
MI7391,那看完很多天賦不好的人,2
MI7391,可以在後天經過他努力然,2
MI7391,很好,2
MI7391,所以這是我認為天賦沒辦法改變因為,2
MI7391,有哪些天賦很好的人他們,2
MI7391,在未來的努力中可以,2
MI7391,他們就可以打了很高的成就,2
MS6327,天父不能改變的原因,3
MS6327,我覺得是有先天的人很大一部分天父來自於先天啊,3
MS6327,當然可以透過後天的訓練把天賦就是發展到極致,3
MS6327,但是可能沒有辦法,3
MS6327,甘蔗雞是可能還是有上限,3
MS6327,有辦法就是透過訓練和練習達到,3
MS6327,能夠達到改善就是一些先天的限制,3
MW8321,威力彩,1
MW8321,說愛丁ten pen pinterest I love Taiwan a,1
MW8321,excuse me may J,1
MW8321,關閉眼科to practice to remind me if you want to,1
MW8321,ry people & Alexander Scania,1
MW8321,turn on master you can't have,1
MW8321,才能跑0,1
MW8321,competition,1
MZ1630,我認為天父的能不能改變,2
MZ1630,天父的定義其實對我來說主要就是,2
MZ1630,他是一種與生俱來的能力,2
MZ1630,你好比說像是藝術啊音樂啊或是運動的,2
MZ1630,天賦一些體能上的天賦,2
MZ1630,那能不能改變了我認為是可以的,2
MZ1630,雖然說有些人可能天生具備像畫畫的,2
MZ1630,或是比較有美感,2
MZ1630,但是透過不斷的學習還是可以改變的,2
MZ1630,那好比說像是運動,2
MZ1630,其實蠻多的運動,2
MZ1630,動員他們也並非與生,2
MZ1630,神俱來就可能會影響運動,2
MZ1630,然後是說他也許只是體能比較好,2
MZ1630,但是但是蠻多成功運動,2
MZ1630,不只是他具,2
MZ1630,台北天賦更多的其實是後天的努力以及訓,2
MZ1630,所以如果,2
MZ1630,我說一個人他沒有一個可能,2
MZ1630,相對來說不算是天賦的技能的,2
MZ1630,的話他其實也是可以透過不斷的學,2
MZ1630,然後透過不同的資源去訓練和改變的,2
MZ8443,我覺得天賦還是可以被改變的,1
MZ8443,因為,1
MZ8443,他只是一個其實的基準,1
MZ8443,也許天父比較好的孩子和學生,1
MZ8443,能完成的事情確實是比較多,1
MZ8443,然後吸收的效果比較好,1
MZ8443,但並不代表說,1
MZ8443,就是靠後天的努力沒有辦法提升這件事情,1
MZ8443,就是只要,1
MZ8443,對我我而言我,1
MZ8443,我覺得只要是直不差的學生和孩子他,1
MZ8443,他其實只要在有效的引導之下,1
MZ8443,也還是可以激發更多錢了,1
MZ8443,所以我認為天父是可以被培養的,1
NI5331,我認為是可以被改變的,1
NJ2495,我認為天父不太能改變,1
NJ2495,要改變的話就是要有一個很大的契機,1
NJ2495,還有透過他人的幫助,1
NO3311,田馥甄女生,3
NQ2893,可以改變,0
OI7391,可以改變的,1
OI7391,因為後天的努力,1
OI7391,可以改變我們的結果,1
OI7391,9月9日,1
ON5245,這是本人的決定,2
OO1393,也恭,3
OO1393,你還想說,3
OO1393,這是不會改變不會,3
OO1393,改變天賦,3
OW3749,我認為天父是可以被改變的,0
OW3749,傳說天父是與生俱來的本能,0
OW3749,但是他可能會因為改變而增強或是變弱,0
OW3749,所以在這一題裡面我認為,0
OW3749,每個人的天賦卡會因為他成長的歷程而,0
OW3749,有所不同,0
OW3749,有可能會新增天賦或是那個天賦,0
OW3749,簡若到沒有存在感,0
PC2323,乖乖,3
PC2323,應該是不能改變啊人,3
PC2323,必須透過努力,3
PC2323,是讓自己學習更,3
PC2323,天賦是與生俱來的能力啊就差不多會固定在那邊你沒有學習就沒辦法進步啊不是說有一句話叫天才也是99份1加1分的天份,3
PD0083,哈囉當我們講到天賦的時候我想指的是天生賦予的技能所以我認為他跟你的基因還有你天生的個性交有關係,1
PD0083,當我們在講到技能不能力的時候呢我們可以透過經驗跟學習來改善但,1
PD0083,但是我認為像是你說做事比較細心啊或者是對數字的敏感度等等這,1
PD0083,這些都是跟基因也就是你的天賦天生生下來你的腦袋的發展啊等等是比較有關係的所,1
PD0083,所以我會覺得天父他是比較不能改變的,1
PD0083,你可以透過訓練來增強你某方面的能力但是天份跟你後天養成的能力我認為是不一樣的所以,1
PD0083,我覺得天賦跟基因和你親生的方向天生下來的能力比較有關係所,1
PD0083,所以我覺得他比較沒有辦法改變,1
PJ7233,我覺得天賦應該是不能改變的,1
PJ7233,但是是可以培,1
PJ7233,有些人先生可能就會有比較好的理解,1
PJ7233,比較好處理能力,1
PJ7233,對語言比較在,1
PJ7233,感覺就是每個人與生俱來的一個能力,1
PJ7233,Yahoo,1
PJ7233,所以我決天賦應該是不能改變的,1
PJ7233,但是如果要後天去培養一個新的能力的話,1
PJ7233,我覺得這是可行的,1
PJ7233,但是我是天生的我覺得是不,1
PJ7233,天生製備的能力的意思,1
PJ7233,所以將Facebook不能改變的,1
PO4872,我覺得是有辦法改變的,1
PO4872,因為我覺得任何事情如果去學,1
PO4872,學習透過技巧或是透過有架構性的去教學引導的話,1
PO4872,都是有辦法去改變或是學習到更多,1
PO4872,只是可能每個,1
PO4872,一個人因為他的天份天不,1
PO4872,同所以他的改變的幅度會不一樣但,1
PO4872,但是我覺得轉過來講是可以被改變的,1
QD7522,我覺得只要努力的學習,1
QD7522,一定可以提高天賦的,1
QF8858,我覺得可以改變,1
QF8858,因為可以透過後天的學習,1
QF8858,曾經我們的理解能力,1
RB6255,智利為什麼不能改變,1
RB6255,因為這個跟我覺得跟基因比較相關,1
RB6255,是喔爸媽與生下來給你的,1
RB6255,所以很難透過後天的學習改變自立定,1
RB6255,case可以透過一些方法來增加某些事情的學習效率啦,1
RB6255,電腦你說自立嗎,1
RB6255,欸好像智力是可以改變的,1
RB6255,好像自己智力是改變如果說智力就是學習的能力學,1
RB6255,學習的速度這,1
RB6255,這樣子的話,1
RB6255,的確是可以透過方法去有花季的學習速度的,1
RF7455,首先我覺得天賦是可以改變的,2
RF7455,但是他其實很大的機率是取決於你的先天的基因,2
RF7455,還有環境等先天的護照之下而產生的一個能力,2
RF7455,但是說那其實他有很大一部分是固定的可,2
RF7455,可是卻不是100%絕對無法改變的,2
RF7455,因為你透過後天的培養以及後天的環境的桃葉之下的話,2
RF7455,其實也是可以改變自己,2
RF7455,本來原本比較不擅長的地方,2
SF1511,我認為天父是可以改變的就是,3
SF1511,就是可以透過不斷的努力學習然,3
SF1511,南投過其他一些其他一些輔助的工具,3
SF1511,H輔助學習嗎,3
SF1511,男孩可以透過其,3
SF1511,的方法都可以去改善,3
SF1511,你想要去精進的這個天賦,3
SF1511,所以其他是可以去改變的就,3
SF1511,就算是因為就像原本說他說好,3
SF1511,提到如果你在,3
SF1511,在同一個項目其持續做還是,3
SF1511,100個小時以上還是,3
SF1511,1000個小時以上的話,3
SF1511,你是有你是可以非常的專精與原本你,3
SF1511,可能不擅長的項目之類的是,3
SF1511,是我昨天不是可以去看後天去努力改變的,3
SF2758,我認為天父可以改變,1
SF2758,因為後天接收到的訊息可以影響到每一刻的決定,1
SF2758,好也會影響到天,1
SF2758,可能天父也會因此成長成更適合這個環境的模樣,1
SJ6514,你認為天父能不能改變,3
SJ6514,不能因為我們能力,3
SJ6514,不是很強的,3
SJ6514,還有家庭背景,3
SJ6514,慈濟自己的運勢等等,3
SQ1354,我認為聽不可能是一個人出生以來出生下來就會有的他的能力那,1
SQ1354,他可能非常難去改變可是如果我可以後天呢去請教練習,1
SQ1354,我相信他可以抓到他田馥甄每個人對於一個能力他可以作用的一些技能,1
SQ1354,經過全家練習以後才可以抓到他的一些技巧或是他的感覺那也可以增加他的一些天賦的能力,1
TM3318,我覺得天賦,2
TM3318,我覺得天賦稍微可以改變的,2
TM3318,畢竟天賦講的是天生的,2
TM3318,那有些就受限於他天生,2
TM3318,真的能力就知道這裡雖然,2
TM3318,人類可以考過,2
TM3318,後天學習,2
TM3318,多少油進步的機會,2
TM3318,但我覺得有些天生能力,2
TM3318,你還是設現在雨,2
TM3318,某些是女生的,2
TM3318,最近現在在哪裡啊,2
UB6989,天賦是不能改變的,2
UB6989,天賦我的想法是與生俱來的能力,2
UB6989,就是醫生價每天有特別特質,2
UB6989,但是是可以藉由後天的養成去培養這個能力,2
UB6989,不認為他是天賦,2
UE9043,不是啊,2
UE9043,媽媽教授,2
UE9043,從小就學,2
UE9043,後來就,2
UE9043,又不會也很忙吧,2
UE9043,千,2
UQ2494,天賦不能改變,1
UQ2494,為什麼呢因為,1
UQ2494,因為天賦會造天賦就代表是與生俱來的本能,1
UQ2494,會有這樣子的一個差異,1
UQ2494,會有這樣子的一個就是改變的一個問題就,1
UQ2494,就是比如說我們現在是要完全的就是透過,1
UQ2494,學習來去改變或調整我們以前所習慣的技能,1
UQ2494,那天賦的就是後面需要帶流很多的努力,1
UQ2494,這些努力可能是要幫助我們,1
UQ2494,就是更熟悉或者是說有其他就是不同的路可以走,1
UQ2494,天賦如果一直去專演的話我,1
UQ2494,我們確實可以就是把它越來越做得越來越好但,1
UQ2494,但是如果對於天父沒有興趣的話比,1
UQ2494,比如說我今天想要學鋼琴我是有天賦的那,1
UQ2494,那我一起去學我就是會越來越好可,1
UQ2494,可是如果我們不喜歡鋼琴但是我天賦,1
UQ2494,那我們去寫我以後也可能就是只能達到一個進階而已因,1
UQ2494,因為我不喜歡鋼琴可是我有這個天賦,1
UQ2494,但我喜歡打羽球,1
UQ2494,那就沒辦法是必要選擇一個東西,1
UQ2494,到我的羽球可能打的沒有那麼好可,1
UQ2494,可是這是我的興趣所,1
UQ2494,所以這是我的答案喔,1
UW3592,不能改變,0
UW3592,天真的,0
UW7760,天賦是與生俱來的,2
UW7760,所以後天努力不一定能改變,2
VR5641,我認為天賦就是所謂與生俱來的技能,3
VR5641,假是與生俱來的技能,3
VR5641,每個人的天賦都有所謂的高低的上下限值,3
VR5641,所以我認為天賦這個東西是比較是先天性,3
VR5641,比如說你的智商多高,3
VR5641,你的天生對運動的軟性多高,3
VR5641,我們也運動員來說好了,3
VR5641,並不是每個運動員都可以達到頂尖運動員的程度,3
VR5641,這就說明了所謂天賦的高低,3
VR5641,並不能被所謂人為的努力而去改變,3
VR5641,所以說但當你指不同不同方面的天賦可能會有所差別,3
VR5641,但我認為大體而言天賦是不能經過人為的努力去更改的,3
VR5641,比如說所謂天賦也有含嗎,3
VR5641,還有包括像人種上的差異比,3
VR5641,你說唱別說遊泳在遊泳的競賽跟我,3
VR5641,我們很少看到黑人選手因為,3
VR5641,因為其實黑人這個人從他們在水裡面的密度會比較高他,3
VR5641,骨頭密度會比較高,3
VR5641,水箱對了他們在遊的速度上面會比較減緩會,3
VR5641,會比較慢比其他人來的慢,3
VR5641,但在慢跑選手爆發力選手的的比賽中我們,3
VR5641,我們可以看非常多的黑人選手表現得非常的出色,3
VR5641,翡翠可以證明了,3
VR5641,這就是所謂天賦決定你的高低的部分,3
VR5641,所以說我認為天父是沒有辦法經過認為的努力而去改變的,3
VR5641,因此我想這是我對於天賦,3
VR5641,能不能去經國人為改變的理解,3
VR5641,透過這些體育運動方面選手的賽事的觀察來看,3
VR5641,這是我的回答謝謝,3
VR5641,謝謝,3
VT2811,喔我覺得天賦是與生俱來的,2
VX5065,基因造成的沒辦法改變,2
WK2405,天賦可以透過後天的學習還,1
WK2405,你還有新店天份來早就,1
WK2405,天父不是不能改變的,1
WK2405,如果後天的學習,1
WK2405,如果後天的學習更努力的話,1
WK2405,還是可以藉由知識的增加,1
WK2405,LINE提升自己的天賦,1
WP1054,我認為天父可以改變,2
WP1054,因為有些人他一生下來,2
WP1054,他可能覺得,2
WP1054,可能為了未來的一些,2
WP1054,他現在的職場上的一些,2
WP1054,負責的項目的,2
WP1054,業務的,2
WP1054,夜幕業務的時候他可,2
WP1054,可能會覺得這個,2
WP1054,事情他是沒有那麼上手沒有那,2
WP1054,那麼那麼快能夠理解的,2
WP1054,但是呢他可以經由不斷的學習,2
WP1054,不斷的從今夜裡面,2
WP1054,是累積經驗的話那,2
WP1054,慢慢的他的天父在無形,2
WP1054,時鐘可以慢慢的累積起來,2
WP1054,那在未來假使他離開了,2
WP1054,目前的現在的資,2
WP1054,來到另外一個機場上,2
WP1054,但是藉由他之前的一些培訓,2
WP1054,好那等等的那,2
WP1054,再從外人的眼光來看,2
WP1054,他可能會覺得,2
WP1054,這個人還蠻有天賦的,2
WP1054,在這個,2
WP1054,有什麼可能沒有天賦的,2
WP1054,所以我認為覺得天賦這個問題,2
WP1054,可以透過後續的培養然後來,2
WP1054,來達成,2
WP1054,百達成的,2
WW2924,你認為,1
WW2924,我認為天父可以改,1
WW2924,改變可以靠後天努力學習改變這樣,1
WW7335,因為天父是天生的,3
WW7335,沒有辦法改變,3
WW7335,除非有後天,3
WW7335,其他的調整,3
WX3288,我認為可以天賦是可以改變的,1
WX3288,天賦也象徵著一種能力,1
WX3288,所以我認為只要努,1
WX3288,鼓勵這個能力是可以被增強,1
WX3288,這個天賦也是可以被增加,1
XF6879,因為我,1
XF6879,我覺得智利,1
XF6879,再出聲時候因為基因,1
XF6879,會遺傳的關係已經,1
XF6879,限制的他的上限所以認為之,1
XO2576,我覺得可以可以靠後天的努力幾學習,1
XY8495,個人能力不同,2
YA3516,天賦很難改變因為我覺得人有惰性,3
YA3516,沒有個性跟偏見所以會影響自己天父的開發而改變,3
YE1058,後天的學習努力,2
YH2501,獅子沒辦法改變,1
YI6585,我覺得天賦不能改變,2
YI6585,因為天賦是與生俱來的,2
YI6585,為什麼這麼認為呢因,2
YI6585,因為每一個人,2
YI6585,他都有屬於他在行的部分,2
YI6585,那香蕉的,2
YI6585,在學校學習的時候,2
YI6585,當然會針對他專長,2
YI6585,特別的增強,2
YI6585,所以我認為天賦沒辦法改變,2
YM9532,當我能力可不可以陪天父可不可以增強但可以啊,1
YM9532,越能力就是可以,1
YM9532,後天的但,1
YM9532,但是他可以增強本身的一些經驗值啊,1
YM9532,那相對性的就是感覺你能力越,1
YV4746,我認為天父他可以被改變然後,1
YV4746,然後但是,1
YV4746,比如說像是創造他,1
YV4746,他可能是一個天賦可是,1
YV4746,可是他會有很多不同的形式然後,1
YV4746,我認為他額是可以慢慢的被轉化的,1
YV4746,改變話那我,1
YV4746,為孩子可以透過,1
YV4746,跳過這邊說要學習啊或是經過一些,1
YV4746,深夜拿或者是他所在等一下,1
YV4746,環境然後手機觸到的一些,1
YV4746,4G那可能就是會有些融合啊,1
YV4746,或是學習的過程,1
YV4746,傳說其實我覺得天賦還是可以,1
YV4746,改變的他的一個型態的上面的展現是會有所不同的,1
ZD6841,天賦不能改變因為他是與生俱來的,2
ZL2726,我認為天賦是可以改變的因為天賦雖然是你擅長,0
ZL2726,東西但是你有可能在啊,0
ZL2726,這個社會化的過程或是學習的過程啊你覺得這,0
ZL2726,這個天賦你並不喜歡,0
ZL2726,所以擅長的東西跟,0
ZL2726,那個東西很強,0
ZL2726,他可能就會上去學習,0
ZL2726,打語音輸入天賦是可以改變的一件事情,0
ZN4861,智利是天生的只有透過經驗才能夠學習到更多的事情,3
ZP1535,我自己認為呢天賦這個東西是每個人,2
ZP1535,這是與生俱來或者是他天生就內建的一個東西,2
ZP1535,所以我覺得很大程度上你本身有的那份天賦,2
ZP1535,可能沒有辦法做太大的改變,2
ZP1535,畢竟他就是你出場設置的時候就,2
ZP1535,設定在你的身體這個程式裡面了,2
ZP1535,但是我還是相信要靠後天的話也是可以的,2
ZP1535,他可能只是你在出生你的身體裡面有內建這個設定,2
ZP1535,只是你沒有就是把它那裡,2
ZP1535,你沒有點亮他然後你沒有去試用它,2
ZP1535,所以他沒有被激發出來,2
ZP1535,所以我覺得其實這個東西一定程度上還是偏甜神的,2
ZP1535,但你要說他沒有辦法完全被改變嗎我也不覺得,2
ZP1535,所以他可能就是一個程度跟比例上的區別而已,2
ZP1535,比如說我最近幾年啊我在這個工作有使用到這個技能這個天賦,2
ZP1535,那這個技能就會被點的比較高一點,2
ZP1535,如果我很長一段時間沒有使用,2
ZP1535,讓因為我有天賦又或者是我有曾經使用過,2
ZP1535,就是我相信他還是存在的嗯,2
ZP1535,應該是這樣子我個人的解答大概是講,2
ZS3553,為什麼,2
ZS3553,我認為,2
ZS3553,他就是與生俱來的,2
ZS3553,所以他無法改變,2
