面試代碼 (kkey),hash,性別,年齡,工作年資,我有一定的天賦，不太容易改變。,我認為我的天賦難以再提升。,我可以學習新東西，但難以改善天賦。,平均分數
EG9983,d03edd06628bab7a9ed5654cc815090e,男,18-29歲,3年以上未滿5年,4.0,2.0,2.0,2.6666666666666665
IE6957,e9a7901916cb8a384e4cabcf77ee73ec,男,30~39歲,5年以上未滿10年,3.0,4.0,3.0,3.3333333333333335
LK9850,3f07b7a46a8e44296cec019be1a86b63,男,18-29歲,3年以上未滿5年,5.0,2.0,2.0,3.0
LK1412,4a3480ddaa5987610b63c08e6a2eebd7,女,30~39歲,3年以上未滿5年,4.0,2.0,2.0,2.6666666666666665
MI7391,cc4bcbe53c2e7a65c0adb6bd153cc4aa,男,18-29歲,未滿1年,4.0,4.0,3.0,3.6666666666666665
LF7416,6cec0933f9ccdcd0cf953ea1a1d28c6b,男,30~39歲,3年以上未滿5年,4.0,2.0,4.0,3.3333333333333335
ZP1535,26b49ee1762458a59ef57f3caf946ad4,女,30~39歲,3年以上未滿5年,4.0,2.0,3.0,3.0
MF4494,61816b806bbb1eedf92407132b17404c,男,30~39歲,5年以上未滿10年,2.0,2.0,2.0,2.0
MZ1630,f0f59a0c9abfacf5649706ffa4d777a6,女,18-29歲,1年以上未滿3年,4.0,2.0,3.0,3.0
IU6507,32d489979e59de7200dad07228d12017,女,30~39歲,5年以上未滿10年,3.0,2.0,2.0,2.3333333333333335
YV4746,717fd3ab7a6370d24ddc854b65855f9c,女,30~39歲,5年以上未滿10年,4.0,2.0,2.0,2.6666666666666665
AJ4867,ed85da3d334bfdeddf5a52eed8aeea47,女,18-29歲,5年以上未滿10年,4.0,2.0,2.0,2.6666666666666665
JT3562,5978e3119c5853ba9ab021fbbd0fa8b8,男,18-29歲,3年以上未滿5年,5.0,2.0,2.0,3.0
OO1393,c31c9b8f922cc35a44f66fc6933914b1,女,50~59歲,10年以上,4.0,4.0,4.0,4.0
MZ8443,718211f998b88ff3629a7c07ba74b3a5,女,30~39歲,3年以上未滿5年,4.0,2.0,2.0,2.6666666666666665
NI5331,96a11e74f93c9a217198a7d796a8bf52,女,50~59歲,10年以上,4.0,2.0,2.0,2.6666666666666665
LE3531,f3755be2c25002b99f085d0ca883e2ac,男,18-29歲,1年以上未滿3年,3.0,2.0,3.0,2.6666666666666665
QP4292,0fe67e0c3552efd6d86b7fc70b09cd31,男,30~39歲,5年以上未滿10年,2.0,2.0,2.0,2.0
UW3592,c444911e5aa991cac201202685780daf,女,18-29歲,1年以上未滿3年,1.0,1.0,1.0,1.0
NO3311,1f5c7e908019cdd3aafd9ea38110215d,男,50~59歲,10年以上,5.0,5.0,5.0,5.0
WW2924,9e6aa2a4bcf40d045c1da22184630e6f,女,18-29歲,未滿1年,2.0,2.0,2.0,2.0
XO2576,5d9caea3e9f3fd6c65608805c4674ac9,女,18-29歲,1年以上未滿3年,3.0,2.0,2.0,2.3333333333333335
ON5245,24717654e221d4f410162f65edfc76e9,男,40~49歲,10年以上,4.0,3.0,3.0,3.3333333333333335
PC2323,2e3fe8db55bb3d1f98cb6365718026ff,男,30~39歲,10年以上,3.0,4.0,5.0,4.0
GQ1734,728af213f3bb973feff9e386c5577b62,男,30~39歲,5年以上未滿10年,4.0,4.0,4.0,4.0
KC3589,6b8385c76d7b49a78d0b77442667c6d6,男,18-29歲,1年以上未滿3年,3.0,1.0,2.0,2.0
DG8891,867573452e317dba519ac130f2393d1a,男,18-29歲,未滿1年,4.0,3.0,4.0,3.6666666666666665
FY4166,d447bd22341a9bed04b8360c3bb8ace5,男,50~59歲,10年以上,3.0,2.0,3.0,2.6666666666666665
VX5065,da4d70d0ae48a376ffe60b6149e69431,男,50~59歲,10年以上,4.0,2.0,3.0,3.0
LR8914,3ebeb3dcfb6be91fc7623c620fb0b696,女,50~59歲,10年以上,5.0,4.0,2.0,3.6666666666666665
QD7522,e432e34c5116dc3b555399d3617ab8c2,女,60歲(含)以上,10年以上,4.0,2.0,2.0,2.6666666666666665
YH2501,23aefaa3cba112d47ee7b0e63ad04413,男,60歲(含)以上,10年以上,3.0,2.0,1.0,2.0
UE9043,7313fb1ba80d61bef791afefaaf89d63,男,18-29歲,未滿1年,4.0,3.0,3.0,3.3333333333333335
ZD6841,01822b0d7173cd35496c298863ec9b07,男,50~59歲,10年以上,5.0,2.0,4.0,3.6666666666666665
OI7391,bf09c7944f5021a8145cabcc4c6e9931,女,30~39歲,1年以上未滿3年,2.0,2.0,2.0,2.0
TM3318,ed257ea27c66bf33c5690e61f589002e,女,30~39歲,3年以上未滿5年,4.0,2.0,4.0,3.3333333333333335
WX3288,739f55dfaeed5f7f52667d2568f2f8dc,女,50~59歲,10年以上,4.0,2.0,2.0,2.6666666666666665
VT2811,77ce2d055460622d8080afb213f2576a,女,50~59歲,10年以上,3.0,2.0,4.0,3.0
WW7335,70cb071b94f35897de92ab27963b802f,女,50~59歲,10年以上,5.0,4.0,5.0,4.666666666666667
XY8495,d9177b1a3430dc2521327fa8e5d12a69,男,40~49歲,10年以上,4.0,3.0,3.0,3.3333333333333335
MR6827,a9649f12ff6355c8250e54096e28500b,男,40~49歲,10年以上,3.0,3.0,3.0,3.0
CP3552,6f9a1545936b65aad84c1cbf2d4b8388,男,18-29歲,1年以上未滿3年,5.0,4.0,4.0,4.333333333333333
NJ2495,2cffdc4dab7b94089085860ada0db25a,女,40~49歲,10年以上,2.0,2.0,2.0,2.0
YA3516,1f0cce9cd813afe916ee9f9946656cc1,女,50~59歲,10年以上,4.0,4.0,4.0,4.0
HX5970,1b97d1dbbd6039b9e13819c5834fb3ba,女,18-29歲,未滿1年,3.0,3.0,4.0,3.3333333333333335
FC1872,c960c404801f67d42041f6a50309b43f,男,30~39歲,3年以上未滿5年,4.0,4.0,4.0,4.0
GU1919,4d0bc2f31c8f9eb6dd5d22b5fa189673,男,60歲(含)以上,10年以上,2.0,2.0,2.0,2.0
SJ6514,543005c5f4914088a00c7de015dab9e5,男,60歲(含)以上,10年以上,5.0,4.0,4.0,4.333333333333333
AD7423,424edd342e926c0de24b3611b2918c02,男,50~59歲,10年以上,3.0,4.0,4.0,3.6666666666666665
GH6341,39d8a632a604f984a3630bd86a9d0af6,男,60歲(含)以上,10年以上,2.0,2.0,4.0,2.6666666666666665
FU8225,dfe0c0f66eb3696f1f74a8b76d93f79c,男,50~59歲,10年以上,4.0,3.0,4.0,3.6666666666666665
UB6989,50a4f1a322ee3f8b61a694edf325c407,男,30~39歲,5年以上未滿10年,4.0,1.0,5.0,3.3333333333333335
IN8306,e0d3159eeb959fa90c0ec1e72cc5881c,男,60歲(含)以上,10年以上,3.0,2.0,2.0,2.3333333333333335
CN1899,f6933d03c10d1537dd114a5b4bd8cba5,男,60歲(含)以上,10年以上,4.0,2.0,2.0,2.6666666666666665
LB6837,15d0130dcddc8431ecc270211a66045b,女,30~39歲,10年以上,2.0,1.0,3.0,2.0
UW7760,27c9474fca8a442fd4e8c73cf1ec6e67,男,40~49歲,10年以上,4.0,2.0,4.0,3.3333333333333335
YE1058,0979591fb885caf9e809a47dac0a8d27,女,30~39歲,10年以上,3.0,3.0,3.0,3.0
OW3749,c21a6c925ac3a5840cd43f701c3851d3,女,30~39歲,5年以上未滿10年,2.0,1.0,1.0,1.3333333333333333
BV5253,fb39c1be8356390807ec2d8838dbf3d2,男,60歲(含)以上,10年以上,3.0,3.0,3.0,3.0
CZ8543,16702cde44471f8e2ccb52ce909ce86b,女,30~39歲,3年以上未滿5年,3.0,3.0,4.0,3.3333333333333335
IT8087,a00398ef96cd596a4a71705b16ce91d4,女,30~39歲,10年以上,4.0,3.0,3.0,3.3333333333333335
WP1054,ee210cc94ec62933f4968f5ca5f0ed1a,女,30~39歲,5年以上未滿10年,4.0,3.0,2.0,3.0
LW2976,758117af15830e4091df0b3606d8b02f,女,50~59歲,10年以上,4.0,4.0,5.0,4.333333333333333
PD0083,ba4c316b25b4e4f22f51c62ef3195fe2,女,18-29歲,5年以上未滿10年,3.0,2.0,3.0,2.6666666666666665
IM2797,2af8d2ae46f11e79afa4cdda013bc958,男,18-29歲,5年以上未滿10年,3.0,4.0,5.0,4.0
AA3647,602bfbcaa16b5bb99e628fef66fd6221,女,30~39歲,10年以上,4.0,2.0,2.0,2.6666666666666665
RF7455,9950066b05b4221382e69019bc91fbc4,女,18-29歲,3年以上未滿5年,4.0,2.0,4.0,3.3333333333333335
BB9787,c0467ae2970fd65e829a3bfbc525954b,女,18-29歲,1年以上未滿3年,2.0,2.0,4.0,2.6666666666666665
NQ2893,ed04da6779753d7fe8f29e9c12dbb5e7,男,30~39歲,10年以上,1.0,1.0,1.0,1.0
QF4015,0de35c2700bf29cd8e19d199a7a17c72,女,40~49歲,10年以上,5.0,2.0,4.0,3.6666666666666665
MC4125,d0a4e0c67b7e6e7bfd065502ea6e3ebd,男,40~49歲,10年以上,2.0,2.0,2.0,2.0
BQ9619,0a84d74a7f36dbb9e67193d7d14720c8,女,30~39歲,5年以上未滿10年,4.0,3.0,5.0,4.0
JO5132,7e01cbe979f02c0704388830e72e4ac9,女,18-29歲,3年以上未滿5年,4.0,2.0,4.0,3.3333333333333335
MW8321,a22c6b7d88a2ac5ab7486078c2c760ff,男,30~39歲,10年以上,2.0,2.0,2.0,2.0
GU6025,def41422edb1492029c8c9d4a4a4b184,女,30~39歲,5年以上未滿10年,3.0,3.0,3.0,3.0
ZS3553,bad55510939dc5800425450e5e17fcfb,女,18-29歲,未滿1年,5.0,1.0,5.0,3.6666666666666665
GX9223,f09293a6150807cc4bbb0145c8f3005e,男,30~39歲,5年以上未滿10年,2.0,1.0,2.0,1.6666666666666667
WK2405,331b2574d095875813c34e3a109ce0fd,女,18-29歲,5年以上未滿10年,3.0,2.0,3.0,2.6666666666666665
SF1511,dffe3c47add5a08f83d7385dd0cd7e64,女,18-29歲,3年以上未滿5年,4.0,5.0,4.0,4.333333333333333
PJ7233,30d975d9200da7e7d0239b9c35cbd6b1,女,18-29歲,3年以上未滿5年,2.0,2.0,4.0,2.6666666666666665
AG4726,9e2c058c125365fc47daa58c1d445670,女,18-29歲,3年以上未滿5年,4.0,2.0,3.0,3.0
YI6585,13d4a6dfbaee01db6b0b27e70e28da32,男,30~39歲,5年以上未滿10年,4.0,3.0,4.0,3.6666666666666665
UQ2494,4f58dd173438c45a9064a5e213b1be54,男,18-29歲,5年以上未滿10年,4.0,1.0,2.0,2.3333333333333335
PO4872,c9170abdbf023b750207807b5df9cda9,女,18-29歲,5年以上未滿10年,3.0,2.0,2.0,2.3333333333333335
CV2259,1f81b0d9b0866e65093251c11e68aa2f,女,60歲(含)以上,10年以上,2.0,2.0,2.0,2.0
MS6327,b613d72274061ee5d3936f880064d217,男,30~39歲,5年以上未滿10年,4.0,4.0,4.0,4.0
SF2758,10cd9ef653de3fba85cc35d29319b297,女,18-29歲,未滿1年,4.0,2.0,2.0,2.6666666666666665
AD0995,ca08afef53a0a4312be3050391f97e19,女,18-29歲,3年以上未滿5年,2.0,3.0,4.0,3.0
VR5641,c4fd001319ae1694763a2a1d51b166bb,男,18-29歲,3年以上未滿5年,4.0,4.0,4.0,4.0
CA5403,061431e1e82aebed17d096d2f670fabc,男,60歲(含)以上,10年以上,4.0,4.0,4.0,4.0
YM9532,430814fd5617f15a546e06ac292e1b03,女,60歲(含)以上,10年以上,3.0,2.0,2.0,2.3333333333333335
SQ1354,c9cc075c0093ba39006780683df2c0bb,男,18-29歲,1年以上未滿3年,2.5,2.0,2.5,2.3333333333333335
LP5610,f597de19687a1f70182e64632a87314d,女,18-29歲,未滿1年,3.5,3.5,4.0,3.6666666666666665
ZL2726,0ba044fb1982343f284cf3f11574c1e8,男,18-29歲,1年以上未滿3年,2.5,1.0,2.0,1.8333333333333333
ML6436,afb397b7d71fb7aba37e0e45279a60b9,女,18-29歲,未滿1年,5.0,5.0,5.0,5.0
ZO9454,d0bd457918ddfaf993f2698ec255b565,女,18-29歲,未滿1年,5.0,5.0,5.0,5.0
XF6879,4097ee838f0d1688a52de9d6c93e3496,男,30~39歲,5年以上未滿10年,2.0,2.0,2.0,2.0
ZN4861,4a548cc62852785f148c25e067cc9eab,男,18-29歲,1年以上未滿3年,4.0,4.0,4.0,4.0
JV6180,1e88f3e2d7178c674c8d74f6f4639131,女,30~39歲,5年以上未滿10年,4.0,4.0,4.0,4.0
RB6255,a73db2b35f2727ab67093aec388a05e4,男,18-29歲,1年以上未滿3年,4.0,2.0,2.0,2.6666666666666665
QF8858,72a986ab3ce2f6f893330b76c5cca9cb,女,30~39歲,5年以上未滿10年,3.0,2.0,2.0,2.3333333333333335
WK3702,407feb3db665c0d5510a750bbb9476e5,女,18-29歲,未滿1年,5.0,5.0,5.0,5.0
